Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/31/2024,12/31/2024,Payment Thank You-Mobile,,Payment,215.60,
12/30/2024,12/31/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-23.97,
12/29/2024,12/30/2024,PP*APPLE.COM/BILL,Shopping,Sale,-1.29,
12/26/2024,12/29/2024,OFFICE DEPOT #2210,Shopping,Sale,-0.20,
12/23/2024,12/25/2024,TRADER JOE S #120,Groceries,Sale,-9.29,
12/22/2024,12/23/2024,PP*APPLE.COM/BILL,Shopping,Sale,-9.99,
12/23/2024,12/23/2024,DD *DOORDASH WINGSTOP,Food & Drink,Sale,-32.60,
12/20/2024,12/22/2024,6128 CONSERV FUEL,Gas,Sale,-1.49,
12/20/2024,12/22/2024,TST* COMMON THEORY,Food & Drink,Sale,-44.40,
12/19/2024,12/20/2024,SQ *SOCIETE BREWING COMPA,Food & Drink,Sale,-37.48,
12/18/2024,12/19/2024,TST* PURE PROJECT - BANKE,Food & Drink,Sale,-9.62,
12/18/2024,12/19/2024,CHIPOTLE 2425,Food & Drink,Sale,-11.44,
12/18/2024,12/18/2024,Payment Thank You-Mobile,,Payment,1077.09,
12/17/2024,12/18/2024,TST* NORTH PARK BREWING -,Food & Drink,Sale,-57.80,
12/16/2024,12/17/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-86.40,
12/14/2024,12/16/2024,TST*BOTTLECRAFT LIBERTY,Food & Drink,Sale,-33.00,
12/13/2024,12/15/2024,RESTAURANT MASA,Food & Drink,Sale,-76.00,
12/14/2024,12/15/2024,TST* SEVEN GRAND SAN DIEG,Food & Drink,Sale,-27.70,
12/13/2024,12/15/2024,TST*BOTTLECRAFT - NORTH,Food & Drink,Sale,-21.39,
12/12/2024,12/13/2024,DD *DOORDASH TACOBELL,Food & Drink,Sale,-26.21,
12/12/2024,12/13/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-15.13,
12/11/2024,12/12/2024,SQ *SPROUTS EASTLAKE,Groceries,Sale,-15.98,
12/11/2024,12/12/2024,KNOWN TRAVELER CREDIT,Fees & Adjustments,Adjustment,70.00,
12/11/2024,12/12/2024,TSA PRECHECK BY TELOS,Bills & Utilities,Sale,-70.00,
12/10/2024,12/11/2024,PANDA EXPRESS #784 P,Food & Drink,Sale,-18.64,
12/08/2024,12/10/2024,SNAPDRAGON STADIUM CON,Gifts & Donations,Sale,-50.95,
12/09/2024,12/10/2024,IN-N-OUT  CHULAVISTA,Food & Drink,Sale,-25.50,
12/09/2024,12/10/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-14.67,
12/08/2024,12/09/2024,DD *DOORDASH ALBERTSON,Food & Drink,Sale,-88.76,
12/04/2024,12/06/2024,AMC 0428 OTAY RANCH 12,Entertainment,Sale,-10.49,
12/01/2024,12/02/2024,TST* DIN TAI FUNG - UTC S,Food & Drink,Sale,-409.41,
11/28/2024,12/01/2024,McDonalds 6480,Food & Drink,Sale,-1.62,
11/27/2024,11/29/2024,SQ *KURA REVOLVING SUSHI,Food & Drink,Sale,-90.00,
11/27/2024,11/28/2024,DD *DOORDASH JERSEYMIK,Food & Drink,Sale,-17.89,
11/26/2024,11/27/2024,PANDA EXPRESS #784 P,Food & Drink,Sale,-10.99,
11/25/2024,11/27/2024,SANDAG FASTRAK,Travel,Sale,-2.50,
11/26/2024,11/27/2024,PP*APPLE.COM/BILL,Shopping,Sale,-9.99,
11/25/2024,11/26/2024,DD *DOORDASH TACOBELL,Food & Drink,Sale,-23.87,
11/24/2024,11/25/2024,Payment Thank You-Mobile,,Payment,2021.96,
11/22/2024,11/24/2024,TST* HOME &amp; AWAY - SAN DI,Food & Drink,Sale,-30.48,
11/22/2024,11/24/2024,TST* HOME &amp; AWAY - SAN DI,Food & Drink,Sale,-10.70,
11/23/2024,11/24/2024,SLICE*PIZAKAMASCRATCHP,Food & Drink,Sale,-53.82,
11/22/2024,11/22/2024,LYFT   *MEMB ANNUAL,Travel,Sale,-99.50,
11/22/2024,11/22/2024,HUMBERTOS TACO SHOP #1,Food & Drink,Sale,-11.85,
11/19/2024,11/21/2024,WGC*JERSEYMIKES,Shopping,Sale,-25.00,
11/18/2024,11/19/2024,DD *DOORDASH WIENERSCH,Food & Drink,Sale,-21.04,
11/16/2024,11/17/2024,TST* KINDRED,Food & Drink,Sale,-63.10,
11/16/2024,11/17/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-21.54,
11/16/2024,11/17/2024,TST* THE PEARL HOTEL AND,Food & Drink,Sale,-82.03,
11/14/2024,11/15/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-28.17,
11/14/2024,11/15/2024,SQ *THAI FRESH LLC,Food & Drink,Sale,-30.82,
11/12/2024,11/14/2024,PANDA EXPRESS FC,Food & Drink,Sale,-18.31,
11/13/2024,11/14/2024,SAIGON COFFEE,Food & Drink,Sale,-15.01,
11/13/2024,11/14/2024,SQ *RAMEN NAGI UTC,Food & Drink,Sale,-51.22,
11/05/2024,11/07/2024,JACK IN THE BOX 3072,Food & Drink,Sale,-10.18,
11/05/2024,11/07/2024,TST*FALL BREWING COMPANY,Food & Drink,Sale,-35.26,
11/05/2024,11/05/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-7.45,
11/03/2024,11/05/2024,JERSEY MIKES 20175,Food & Drink,Sale,-20.25,
11/03/2024,11/04/2024,DD *DOORDASH 99RANCHMA,Food & Drink,Sale,-3.00,
